show_id,director
1,Kirsten Johnson
3,Julien Leclercq
6,Mike Flanagan
7,"Robert Cullen, José Luis Ucha"
8,Haile Gerima
9,Andy Devonshire
10,Theodore Melfi
12,Kongkiat Komesiri
13,Christian Schwochow
14,Bruno Garotti
17,"Pedro de Echave García, Pablo Azorín Williams"
19,Adam Salky
21,Olivier Megaton
23,K.S. Ravikumar
24,"Alex Woo, Stanley Moore"
25,S. Shankar
27,Rajiv Menon
28,Dennis Dugan
29,Scott Stewart
30,Robert Luketic
31,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary"
36,Daniel Sandu
37,Cédric Jimenez
39,George Nolfi
42,Steven Spielberg
43,Jeannot Szwarc
44,Joe Alves
45,Joseph Sargent
46,Tyler Greco
47,Daniel Espinosa
48,Bunmi Ajakaiye
49,Antoine Fuqua
52,Toshiya Shinohara
53,Toshiya Shinohara
54,Toshiya Shinohara
55,Toshiya Shinohara
57,Masahiko Murata
58,Hajime Kamegaki
59,Masahiko Murata
60,Hajime Kamegaki
61,Masahiko Murata
62,Hirotsugu Kawasaki
63,Toshiyuki Tsuru
64,Tensai Okamura
65,David Yarovesky
69,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech"
72,David A. Vargas
74,Kemi Adetiba
76,Ben Simms
78,Prakash Satam
79,Delhiprasad Deenadayalan
80,Delhiprasad Deenadayalan
81,Tomer Eshed
82,Cedric Nicolas-Troyan
85,"JJC Skillz, Funke Akindele"
87,Thomas Sieben
89,Marcus Clarke
91,Alice Waddington
92,"Mona Achache, Patricia Tourancheau"
94,Alexis Almström
95,Raja Gosnell
97,Stephen Kijak
102,"Chapman Way, Maclain Way"
103,Jason Hehir
104,Yemi Amodu
106,Lijo Jose Pellissery
108,David de Vos
111,"Luis Alfaro, Javier Gómez Santander"
113,Sara Colangelo
114,Stephen Herek
115,Rahul Rawail
116,Jane Campion
117,Nagesh Kukunoor
118,Luke Holland
119,Shanker Raman
120,JP Habac
123,Jane Campion
127,Vidhu Vinod Chopra
128,Mark Rosman
129,Gilles Paquet-Brenner
130,Lasse Hallström
131,Scott Pleydell-Pearce
132,Ridley Scott
134,Neill Blomkamp
135,Phillip Noyce
136,Renny Harlin
137,Anthony Minghella
138,Simon Wincer
139,Lasse Hallström
140,Spike Lee
141,Sebastián Schindel
142,Steven C. Miller
143,Richard LaGravenese
