name
Kirsten Johnson
Julien Leclercq
Mike Flanagan
"Robert Cullen, José Luis Ucha"
Haile Gerima
Andy Devonshire
Theodore Melfi
Kongkiat Komesiri
Christian Schwochow
Bruno Garotti
"Pedro de Echave García, Pablo Azorín Williams"
Adam Salky
Olivier Megaton
K.S. Ravikumar
"Alex Woo, Stanley Moore"
S. Shankar
Rajiv Menon
Dennis Dugan
Scott Stewart
Robert Luketic
"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary"
Daniel Sandu
Cédric Jimenez
George Nolfi
Steven Spielberg
Jeannot Szwarc
Joe Alves
Joseph Sargent
Tyler Greco
Daniel Espinosa
Bunmi Ajakaiye
Antoine Fuqua
Toshiya Shinohara
Masahiko Murata
Hajime Kamegaki
Hirotsugu Kawasaki
Toshiyuki Tsuru
Tensai Okamura
David Yarovesky
"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech"
David A. Vargas
Kemi Adetiba
Ben Simms
Prakash Satam
Delhiprasad Deenadayalan
Tomer Eshed
Cedric Nicolas-Troyan
"JJC Skillz, Funke Akindele"
Thomas Sieben
Marcus Clarke
Alice Waddington
"Mona Achache, Patricia Tourancheau"
Alexis Almström
Raja Gosnell
Stephen Kijak
"Chapman Way, Maclain Way"
Jason Hehir
Yemi Amodu
Lijo Jose Pellissery
David de Vos
"Luis Alfaro, Javier Gómez Santander"
Sara Colangelo
Stephen Herek
Rahul Rawail
Jane Campion
Nagesh Kukunoor
Luke Holland
Shanker Raman
JP Habac
Vidhu Vinod Chopra
Mark Rosman
Gilles Paquet-Brenner
Lasse Hallström
Scott Pleydell-Pearce
Ridley Scott
Neill Blomkamp
Phillip Noyce
Renny Harlin
Anthony Minghella
Simon Wincer
Spike Lee
Sebastián Schindel
Steven C. Miller
Richard LaGravenese
Martin Campbell
Reginald Hudlin
"George Jackson, Doug McHenry"
Eric Meza
Gerhard Mostert
Michael Martin
Michael Rymer
"Andrew Lau Wai-keung, Alan Mak"
Brett Weiner
Jim Henson
Gary Winick
Danishka Esterhazy
Troy Byer
Pang Ho-cheung
Tim Burton
David Zucker
Kinka Usher
Sergio Leone
"Matthew O'Callaghan, Todd Wilderman"
"Bobby Farrelly, Peter Farrelly"
Wolfgang Petersen
Peter Spirer
Michael Carney
Richard Linklater
Amy Rice
Randal Kleiser
Michael Ritchie
J. Lee Thompson
"Evan Goldberg, Seth Rogen"
Tom Shadyac
Peter Segal
Malcolm D. Lee
"Ramzy Bedia, Éric Judor"
Sharan Koppisetty
Taylor Sheridan
Sachin Yardi
Saurabh Kabra
Mark Waters
Partho Mitra
Santram Varma
"Anil V. Kumar, Anurag Basu"
Sangeeth Sivan
Umesh Ghadge
David Dhawan
Dibakar Banerjee
Apoorva Lakhia
Milan Luthria
Pawan Kripalani
Bhushan Patel
Magnus Martens
"Raj Nidimoru, Krishna D.K."
Joshua Rofé
Brad Anderson
"Mauricio Dias, Tatiana Villela"
Angel Kristi Williams
Roger Donaldson
Christopher Alender
Rush Sturges
David Oyelowo
Mark Lo
Crystal Moselle
Rathindran R Prasad
Han Kwang Il
Karim El Shenawy
Yin Chen-hao
Brian Andrew Mendoza
Dave Needham
Veronica Velasco
Drake Doremus
Miguel Alexandre
Mani Ratnam
Michael Harte
Tosin Igho
Alice Filippi
Paakhi Tyrewala
Laura Brownson
Steve Brill
Moses Inwang
Ferdinando Cito Filomarino
Juan Carlos Medina
Inma Torrente
Julián Gaviria
Steven Yamamoto
Charles Uwagbai
Julián Hernández
Sam Hobkinson
Vince Marcello
Jonathan Teplitzky
Sakon Tiacharoen
Floyd Russ
Dustin Hoffman
Adze Ugah
Hideaki Takizawa
Quoc Bao Tran
"Bejoy Nambiar, Priyadarshan, Karthik Narain, Vasanth Sai, Karthik Subbaraj, Arvind Swamy, Rathindran R Prasad, Sarjun, Gautham Vasudev Menon"
Kayode Kasum
Just Philippot
"Kirk DeMicco, Brandon Jeffords"
Rohit Shetty
"Cavi Borges, Luciano Vidigal"
Alejandro Doria
Laura Fairrie
Marcelo Piñeyro
Izu Ojukwu
Peter Winther
Susan Lacy
Billy Corben
James Mangold
Chineze Anyaene
Hsu Fu-chun
Kristine Stolakis
"Eva Müller, Michael Schmitt"
Brian Levant
Rod Daniel
Robert Zemeckis
Todor Chapkanov
"Phil Lord, Christopher Miller"
John Hughes
Justin Baldoni
Joe Roth
Mark Helfrich
"Mag Hsu, Hsu Chih-yen"
Christopher Nolan
Paul Thomas Anderson
Nick Castle
Howard Zieff
David Feiss
David Gordon Green
Jorge Blanco
Zara Hayes
Gary Ross
Clint Eastwood
Trey Parker
Kelly Fremon Craig
Tom Elkins
Tony Scott
Brad Furman
Sylvain White
Irwin Winkler
Garry Marshall
Kenneth Gyang
Jaume Balagueró
Najwa Najjar
Selçuk Metin
Keishi Otomo
David Charhon
Michelle Bello
Steven Tsuchida
Daniel Markowicz
Louie Schwartzberg
Glen Winter
Ram Gopal Varma
David Benullo
Laxman Utekar
"Royale Watkins, Rich Schlansker"
Yuval Adler
Quentin Tarantino
Clay Glen
Muzi Mthembu
Marcos Bucay
Peter Thorwarth
Kim Seong-hun
Augustine Frizzell
Sidheswar Shukla
Rajiv Chilaka
Binayak Das
"Arpan Sarkar, Shyamal Chaulia"
"Rajiv Chilaka, Owll Mina"
"Ainsley Gardiner, Briar Grace-Smith"
Mahmoud Karim
Kyohei Ishiguro
Seyi Babatope
"Johane Matte, Andrew L. Schmidt, Francisco Ruiz Velasco"
Morgan Ingari
Abdulaziz Alshlahei
Edward Drake
Kathryn Fasegha
"Sita Likitvanichkul, Jetarin Ratanaserikiat, Apirak Samudkitpaisan, Thanabodee Uawithya, Adirek Wattaleela"
Leigh Janiak
Luis Estrada
Garrett Bradley
Sofia Coppola
Colin Trevorrow
Bill Condon
David Slade
Chris Weitz
Catherine Hardwicke
Hadrah Daeng Ratu
Tommy Chong
Fred Ouro Preto
Mayye Zayed
Alessandra de Rossi
"Ash Brannon, Chris Buck"
Alaa Eddine Aljem
Tom Donahue
"Roberto De Feo, Paolo Strippoli"
Navot Papushado
Manuel Alcalá
Ricardo Trogi
Semi Chellas
