show_id,rating
1,PG-13
2,TV-MA
3,TV-MA
4,TV-MA
5,TV-MA
6,TV-MA
7,PG
8,TV-MA
9,TV-14
10,PG-13
11,TV-MA
12,TV-MA
13,TV-MA
14,TV-PG
15,TV-MA
16,TV-MA
17,TV-MA
18,TV-MA
19,TV-14
20,TV-MA
21,TV-14
22,TV-14
23,TV-PG
24,TV-Y
25,TV-14
26,TV-14
27,TV-PG
28,PG-13
29,PG-13
30,PG-13
31,TV-14
32,TV-MA
33,TV-MA
34,TV-MA
35,TV-Y7
36,TV-MA
37,TV-MA
38,TV-Y7
39,PG-13
40,TV-Y7
41,TV-Y7
42,PG
43,PG
44,PG
45,PG-13
46,PG
47,R
48,TV-MA
49,R
50,TV-MA
51,TV-PG
52,TV-14
53,TV-14
54,TV-PG
55,TV-PG
56,TV-PG
57,TV-14
58,TV-PG
59,TV-PG
60,TV-PG
61,TV-14
62,TV-PG
63,TV-PG
64,TV-PG
65,TV-PG
66,TV-Y
67,TV-G
68,TV-PG
69,TV-14
70,TV-PG
71,TV-MA
72,TV-Y
73,TV-MA
74,TV-MA
75,TV-PG
76,TV-G
77,TV-14
78,TV-Y7
79,TV-14
80,TV-14
81,TV-Y7
82,R
83,TV-14
84,TV-MA
85,TV-MA
86,TV-Y7
87,TV-MA
88,TV-Y
89,PG-13
90,TV-Y7
91,TV-MA
92,TV-14
93,TV-MA
94,TV-MA
95,PG
96,TV-MA
97,TV-MA
98,TV-Y7
99,TV-Y
100,TV-MA
101,TV-Y7
102,TV-MA
103,TV-14
104,TV-MA
105,TV-Y
106,TV-14
107,TV-G
108,G
109,TV-G
110,TV-MA
111,TV-MA
112,TV-Y
113,PG-13
114,TV-PG
115,TV-14
116,PG
117,TV-PG
118,PG-13
119,TV-14
120,TV-MA
121,TV-Y7
122,TV-14
123,R
124,TV-Y7
125,TV-Y7
126,TV-MA
127,TV-14
128,PG
129,PG-13
130,PG-13
131,TV-Y
132,R
133,TV-MA
134,R
135,PG-13
136,R
137,R
138,PG
139,PG-13
140,R
141,TV-MA
142,R
143,PG-13
144,PG-13
145,R
146,R
147,R
148,TV-PG
149,TV-14
150,R
151,R
152,TV-14
153,TV-MA
154,TV-Y
155,TV-MA
156,PG
157,PG
158,TV-14
159,PG-13
160,TV-MA
161,TV-PG
162,PG-13
163,PG-13
164,R
165,PG-13
166,TV-MA
167,R
168,PG
169,PG
170,PG-13
171,R
172,PG-13
173,PG-13
174,PG-13
175,R
176,R
177,PG-13
178,TV-14
179,R
180,PG-13
181,PG-13
182,TV-14
183,PG-13
184,R
185,TV-PG
186,TV-MA
187,TV-14
188,TV-G
189,TV-MA
190,TV-Y
191,TV-14
192,R
