show_id,release_year
1,2020
2,2021
3,2021
4,2021
5,2021
6,2021
7,2021
8,1993
9,2021
10,2021
11,2021
12,2021
13,2021
14,2021
15,2021
16,2021
17,2020
18,2020
19,2021
20,2021
21,2021
22,2018
23,1996
24,2021
25,1998
26,2021
27,1997
28,2010
29,2013
30,2013
31,2021
32,2021
33,2020
34,2021
35,2020
36,2021
37,2021
38,2018
39,2017
40,2021
41,2021
42,1975
43,1978
44,1983
45,1987
46,2021
47,2012
48,2020
49,2001
50,2021
51,2014
52,2002
53,2003
54,2004
55,2001
56,2021
57,2011
58,2008
59,2009
60,2007
61,2010
62,2005
63,2006
64,2004
65,2021
66,2021
67,2014
68,1994
69,2021
70,2015
71,2021
72,2021
73,2021
74,2018
75,2021
76,2021
77,2013
78,2021
79,2020
80,2021
81,2021
82,2021
83,2021
84,2021
85,2020
86,2021
87,2021
88,2019
89,2021
90,2017
91,2019
92,2021
93,2021
94,2021
95,2018
96,2021
97,2018
98,2021
99,2021
100,2021
101,2019
102,2021
103,2021
104,2020
105,2016
106,2017
107,2021
108,2018
109,2021
110,2021
111,2021
112,2021
113,2021
114,2021
115,1994
116,2009
117,2015
118,2021
119,2017
120,2020
121,2021
122,2019
123,2003
124,2012
125,2013
126,2021
127,2020
128,2004
129,2017
130,2005
131,2021
132,1982
133,2021
134,2015
135,1994
136,1993
137,2003
138,2001
139,2010
140,1989
141,2014
142,2015
143,2007
144,2011
145,1990
146,1991
147,1994
148,2021
149,2020
150,1998
151,1999
152,2005
153,2016
154,2016
155,2015
156,1986
157,2010
158,2018
159,2003
160,2010
161,1992
162,1996
163,2017
164,2003
165,1999
166,2019
167,1984
168,2008
169,2001
170,2006
171,1997
172,2017
173,2003
174,2015
175,2003
176,1980
177,1986
178,1961
179,2014
180,1996
181,2000
182,2021
183,2008
184,1993
185,2021
186,2021
187,2021
188,2021
189,2008
190,2020
191,2021
192,2017
193,2008
194,2021
195,2002
196,2008
197,2021
198,2021
199,2021
200,2006
201,2004
